window_minutes,fill_model,slippage_cents,trades,wins,win_rate,avg_entry_price,taker_fees,net_pnl,capital_deployed,net_roi,max_drawdown
3,observed_trade_capacity,1,37,35,0.9459459459459459,0.9052972972972974,21.999100000000002,92.67258284343482,3721.9991,0.024898604312783103,-179.35338378448304
3,observed_trade_capacity,2,37,35,0.9459459459459459,0.9052972972972974,19.418999999999997,54.0268402933723,3719.4189999999994,0.014525612815703826,-182.48104502491668
4,next_trade_taker,0,900,820,0.9111111111111111,0.8921611111111111,680.3344,1161.9586400423489,90680.33439999999,0.012813788653632809,-529.3373972194248
4,next_trade_taker,1,900,820,0.9111111111111111,0.8921611111111111,617.3638,204.46612525823105,90617.3638,0.002256368058880025,-628.6930438056311
4,next_trade_taker,2,900,820,0.9111111111111111,0.8921611111111111,554.6133,-728.935222495382,90554.6133,-0.008049675173151914,-1122.1289436568431
4,observed_trade_capacity,0,77,72,0.935064935064935,0.8974545454545453,55.352199999999996,277.8505093424282,7755.352199999999,0.03582693631147122,-238.0667059993247
4,observed_trade_capacity,1,81,76,0.9382716049382716,0.8962098765432097,53.2893,245.81587775156697,8153.2892999999995,0.030149289287645785,-245.48431851540917
4,observed_trade_capacity,2,82,77,0.9390243902439024,0.8968536585365852,47.9092,163.29562396039688,8247.9092,0.019798426486120492,-252.08454334828554
5,next_trade_taker,0,1393,1288,0.9246231155778895,0.9000595836324479,976.0708,2998.2187568822915,140276.07080000002,0.021373700730162534,-618.5629207863262
5,next_trade_taker,1,1393,1288,0.9246231155778895,0.9000595836324479,878.7099000000001,1512.5870661276674,140178.70990000002,0.010790419366868972,-691.9827410352277
5,next_trade_taker,2,1393,1288,0.9246231155778895,0.9000595836324479,782.4594,72.71477837408943,140082.4594,0.0005190855349452084,-1141.9339301892471
5,observed_trade_capacity,0,103,95,0.9223300970873787,0.9023689320388348,70.52250000000001,130.01077039671497,10370.522500000003,0.012536568952694036,-188.71015060845133
5,observed_trade_capacity,1,106,98,0.9245283018867925,0.9015471698113207,65.8424,60.35555276815417,10665.842400000001,0.005658770353493519,-209.05912880226643
5,observed_trade_capacity,2,110,102,0.9272727272727272,0.9018181818181817,60.6823,-16.7829183551541,11060.682299999999,-0.001517349282797328,-250.4533788804718
6,next_trade_taker,0,1915,1770,0.9242819843342036,0.9097817232375979,1211.8588,1701.2157979414712,192711.8588,0.00882776912917967,-1140.7840523018074
6,next_trade_taker,1,1915,1770,0.9242819843342036,0.9097817232375979,1078.0577,-285.5807406759741,192578.0577,-0.0014829349931488797,-2058.58056598543
6,next_trade_taker,2,1915,1770,0.9242819843342036,0.9097817232375979,946.8084,-2196.8340530879927,192446.80839999998,-0.011415279221060821,-3246.981759356362
6,observed_trade_capacity,0,148,140,0.9459459459459459,0.9267837837837837,76.0735,245.15412538920822,14876.0735,0.016479760293548442,-400.3802895768729
6,observed_trade_capacity,1,156,148,0.9487179487179487,0.9268397435897435,69.2831,144.14863153814392,15669.2831,0.00919944011593893,-420.94193536704404
6,observed_trade_capacity,2,158,150,0.9493670886075949,0.9268164556962026,59.75280000000001,6.098520185742757,15859.752799999998,0.00038452807320822537,-443.056446958558
7,next_trade_taker,0,2512,2344,0.9331210191082803,0.918453025477707,1437.5367,2293.339336611777,252637.5367,0.009077587466090019,-1051.8358784944508
7,next_trade_taker,1,2512,2344,0.9331210191082803,0.918453025477707,1262.5656,-283.67202116669057,252462.5656,-0.0011236201315332373,-2496.821176842221
7,next_trade_taker,2,2512,2344,0.9331210191082803,0.918453025477707,1095.0030000000002,-2714.279785105459,252295.00300000003,-0.010758357291386618,-3936.0438753495373
7,observed_trade_capacity,0,199,190,0.9547738693467337,0.9318743718592967,95.2149,324.2172092873179,19995.214900000006,0.016214739921965923,-325.82248505184907
7,observed_trade_capacity,1,204,195,0.9558823529411765,0.932029411764706,83.3588,149.83290034699928,20483.3588,0.0073148599216550005,-339.57075304443856
7,observed_trade_capacity,2,209,199,0.9521531100478469,0.9321578947368422,72.1269,-116.85909562873957,20972.1269,-0.005572114654176519,-350.81929666021773
8,next_trade_taker,0,3207,3022,0.9423136888057374,0.9284324914250077,1611.6594,3162.7737608264024,322311.6594,0.009812781103587971,-1296.1425159810904
8,next_trade_taker,1,3207,3022,0.9423136888057374,0.9284324914250077,1389.3087,-88.54202544910379,322089.3087,-0.00027489898937183753,-2340.5397384691237
8,next_trade_taker,2,3207,3022,0.9423136888057374,0.9284324914250077,1184.3337999999999,-3052.011000350247,321884.3338,-0.009481700971028266,-3968.153434704376
8,observed_trade_capacity,0,278,270,0.9712230215827338,0.9464712230215826,104.68120000000002,620.4217674263767,27904.681200000003,0.022233608869409935,-188.07863115994644
8,observed_trade_capacity,1,283,274,0.9681978798586572,0.9461908127208483,87.6692,260.2977944954746,28387.6692,0.00916939649611933,-194.44705544135923
8,observed_trade_capacity,2,288,279,0.96875,0.9458750000000001,72.91080000000001,47.8800046727035,28872.910799999998,0.001658301963538207,-272.6136582029698
9,next_trade_taker,0,3959,3737,0.9439252336448598,0.9402432432432432,1662.5979,-768.4942080592402,397562.5979,-0.0019330143532580036,-3288.1668207277726
9,next_trade_taker,1,3959,3737,0.9439252336448598,0.9402432432432432,1392.2727,-4634.7390365052715,397292.2727,-0.011665817220676267,-5392.527765001633
9,next_trade_taker,2,3959,3737,0.9439252336448598,0.9402432432432432,1161.629,-7904.417988002848,397061.62899999996,-0.019907282423411526,-8129.993870356828
9,observed_trade_capacity,0,387,368,0.9509043927648578,0.9541524547803616,124.94310000000002,-214.29302043446194,38824.9431,-0.005519467726778509,-577.3291371940612
9,observed_trade_capacity,1,395,376,0.9518987341772152,0.9545544303797467,100.2106,-566.2091877471314,39600.2106,-0.014298135771710553,-686.5991445698528
9,observed_trade_capacity,2,397,378,0.9521410579345088,0.9546171284634759,80.89679999999998,-837.6765246571725,39780.8968,-0.0210572559203133,-918.2416276899166
10,next_trade_taker,0,4734,4502,0.95099281791297,0.9491894803548795,1691.7890000000002,-1454.868019437347,475091.789,-0.0030622882843326657,-3987.452683449964
10,next_trade_taker,1,4734,4502,0.95099281791297,0.9491894803548795,1380.6212999999998,-5916.6178740180185,474780.6213,-0.012461793107346478,-6183.631391788239
10,next_trade_taker,2,4734,4502,0.95099281791297,0.9491894803548795,1152.3487,-9167.075713626562,474552.3487,-0.01931731185977494,-9228.290211586645
10,observed_trade_capacity,0,568,553,0.9735915492957746,0.96825,127.6799,218.13124521693288,56927.6799,0.0038317255437092363,-318.58062840852085
10,observed_trade_capacity,1,580,563,0.9706896551724138,0.9679362068965518,95.2014,-460.0398822845647,58095.2014,-0.007918724287003931,-537.764319782541
10,observed_trade_capacity,2,589,572,0.9711375212224108,0.9669541595925296,78.7137,-676.4637563336439,58978.71369999999,-0.011469625461391573,-705.3321364422611
